report_date,health_zone,province,total_cases,deaths
2020-07-10,,,49,0
2020-07-09,,,48,0
2020-07-06,,,43,0
2020-07-05,,,41,0
2020-07-03,,,36,0
2020-07-02,,,36,0
2020-07-01,,,36,0
2020-06-30,,,34,0
2020-06-17,,,3463,0
2020-06-16,,,3463,0
2020-06-12,,,3463,0
2020-06-10,,,3463,0
2020-03-07,,,3444,0
2020-03-05,,,3444,0
2020-03-04,,,3444,0
2020-03-03,,,3444,0
2020-03-02,,,3444,0
2020-03-01,,,3444,0
2020-02-29,,,3444,0
2020-02-28,,,3444,0
2020-02-27,,,3444,0
2020-02-26,,,3444,0
2020-02-25,,,3444,0
2020-02-24,,,3444,0
2020-02-23,,,3444,0
2020-02-22,,,3444,0
2020-02-21,,,3433,0
2020-02-20,,,3433,0
2020-02-19,,,3433,0
2020-02-18,,,3433,0
2020-02-17,,,3433,0
2020-02-16,,,3432,0
2020-02-15,,,3432,0
2020-02-14,,,3432,0
2020-02-13,,,3432,0
2020-02-12,,,3432,0
2020-02-11,,,3432,0
2020-02-10,,,3431,0
2020-02-09,,,3431,0
2020-02-08,,,3431,0
2020-02-07,,,3431,0
2020-02-06,,,3430,0
2020-02-05,,,3430,0
2020-02-04,,,3429,0
2020-02-03,,,3428,0
2020-02-02,,,3428,0
2020-02-01,,,3428,0
2020-01-31,,,3427,0
2020-01-30,,,3427,0
2020-01-29,,,3423,0
2020-01-28,,,3421,0
2020-01-27,,,3420,0
2020-01-26,,,3418,0
2020-01-25,,,3417,0
2020-01-24,,,3416,0
2020-01-23,,,3416,0
2020-01-22,,,3416,0
2020-01-21,,,3416,0
2020-01-20,,,3416,0
2020-01-19,,,3414,0
2020-01-18,,,3412,0
2020-01-17,,,3411,0
2020-01-16,,,3411,0
2020-01-15,,,3409,0
2020-01-14,,,3406,0
2020-01-13,,,3403,0
2020-01-12,,,3398,0
2020-01-11,,,3395,0
2020-01-10,,,3393,0
2020-01-09,,,3393,0
2020-01-08,,,3392,0
2020-01-07,,,3392,0
2020-01-06,,,3391,0
2020-01-05,,,3390,0
2020-01-04,,,3388,0
2020-01-03,,,3386,0
2020-01-02,,,3385,0
2020-01-01,,,3382,0
2019-12-31,,,3380,0
2019-12-30,,,3377,0
2019-12-29,,,3376,0
2019-12-28,,,3374,0
2019-12-27,,,3373,0
2019-12-26,,,3372,0
2019-12-25,,,3371,0
2019-12-24,,,3366,0
2019-12-23,,,3363,0
2019-12-22,,,3362,0
2019-12-21,,,3358,0
2019-12-20,,,3357,0
2019-12-19,,,3356,0
2019-12-18,,,3354,0
2019-12-17,,,3351,0
2019-12-16,,,3349,0
2019-12-15,,,3348,0
2019-12-14,,,3346,0
2019-12-13,,,3344,0
2019-12-12,,,3343,0
2019-12-11,,,3343,0
2019-12-10,,,3340,0
2019-12-09,,,3330,0
2019-12-08,,,3324,0
2019-12-07,,,3320,0
2019-12-06,,,3319,0
2019-12-05,,,3320,0
2019-12-04,,,3318,0
2019-12-03,,,3313,0
2019-12-02,,,3313,0
2019-12-01,,,3313,0
2019-11-30,,,3313,0
2019-11-29,,,3310,0
2019-11-28,,,3309,0
2019-11-27,,,3309,0
2019-11-26,,,3304,0
2019-11-25,,,3304,0
2019-11-24,,,3303,0
2019-11-23,,,3301,0
2019-11-22,,,3301,0
2019-11-21,,,3299,0
2019-11-20,,,3298,0
2019-11-19,,,3298,0
2019-11-18,,,3296,0
2019-11-17,,,3296,0
2019-11-16,,,3292,0
2019-11-15,,,3292,0
2019-11-14,,,3292,0
2019-11-13,,,3292,0
2019-11-12,,,3291,0
2019-11-11,,,3287,0
2019-11-10,,,3287,0
2019-11-09,,,3287,0
2019-11-08,,,3286,0
2019-11-07,,,3286,0
2019-11-06,,,3286,0
2019-11-05,,,3285,0
2019-11-04,,,3282,0
2019-11-03,,,3274,0
2019-11-02,,,3274,0
2019-11-01,,,3274,0
2019-10-31,,,3273,0
2019-10-30,,,3272,0
2019-10-29,,,3269,0
2019-10-28,,,3268,0
2019-10-27,,,3264,0
2019-10-26,,,3263,0
2019-10-25,,,3261,0
2019-10-24,,,3260,0
2019-10-23,,,3256,0
2019-10-22,,,3250,0
2019-10-21,,,3248,0
2019-10-20,,,3243,0
2019-10-19,,,3239,0
2019-10-18,,,3235,0
2019-10-17,,,3233,0
2019-10-16,,,3228,0
2019-10-15,,,3227,0
2019-10-14,,,3224,0
2019-10-13,,,3220,0
2019-10-12,,,3218,0
2019-10-11,,,3212,0
2019-10-10,,,3210,0
2019-10-09,,,3208,0
2019-10-08,,,3207,0
2019-10-07,,,3206,0
2019-10-06,,,3205,0
2019-10-05,,,3204,0
2019-10-04,,,3204,0
2019-10-03,,,3201,0
2019-10-02,,,3198,0
2019-10-01,,,3197,0
2019-09-30,,,3194,0
2019-09-29,,,3191,0
2019-09-28,,,3188,0
2019-09-27,,,3186,0
2019-09-26,,,3183,0
2019-09-25,,,3178,0
2019-09-24,,,3175,0
2019-09-23,,,3171,0
2019-09-22,,,3168,0
2019-09-21,,,3164,0
2019-09-20,,,3160,0
2019-09-19,,,3157,0
2019-09-18,,,3150,0
2019-09-17,,,3145,0
2019-09-16,,,3130,0
2019-09-15,,,3129,0
2019-09-14,,,3125,0
2019-09-13,,,3116,0
2019-09-12,,,3113,0
2019-09-11,,,3099,0
2019-09-10,,,3091,0
2019-09-09,,,3084,0
2019-09-08,,,3081,0
2019-09-07,,,3079,0
2019-09-06,,,3073,0
2019-09-05,,,3069,0
2019-09-04,,,3054,0
2019-09-03,,,3049,0
2019-09-02,,,3043,0
2019-09-01,,,3036,0
